track,entry,exit,strategy,put_k,call_k,contracts,debit,exit_val,pnl,ret_pct,result,reason,rolls
signal_edge,2025-08-22,2025-09-02,double_calendar,545,595,1,1.17,0.46,-70.87,-60.4,sl,stop loss -60%,0
portfolio_1k,2025-08-22,2025-09-02,double_calendar,545,595,1,1.17,0.46,-70.87,-60.4,sl,stop loss -60%,0
signal_edge,2025-09-02,2025-09-04,calendar_call,540,585,1,0.72,1.11,39.03,53.9,tp,take profit +54%,0
portfolio_1k,2025-09-02,2025-09-04,calendar_call,540,585,2,0.72,1.11,78.06,53.9,tp,take profit +54%,0
signal_edge,2025-09-04,2025-09-11,calendar_call,550,595,1,0.58,0.76,18.11,31.1,tp,take profit +31%,0
portfolio_1k,2025-09-04,2025-09-11,calendar_call,550,595,2,0.58,0.76,36.22,31.1,tp,take profit +31%,0
signal_edge,2025-09-11,2025-09-19,double_calendar,565,600,1,1.04,1.54,49.8,47.7,tp,take profit +48%,0
portfolio_1k,2025-09-11,2025-09-19,double_calendar,565,600,1,1.04,1.54,49.8,47.7,tp,take profit +48%,0
signal_edge,2025-09-19,2025-09-23,calendar_call,580,615,1,0.49,0.29,-20.28,-41.5,sl,stop loss -41%,0
portfolio_1k,2025-09-19,2025-09-23,calendar_call,580,615,3,0.49,0.29,-60.84,-41.5,sl,stop loss -41%,0
signal_edge,2025-09-23,2025-09-25,calendar_call,580,610,1,0.62,0.37,-24.51,-39.8,sl,stop loss -40%,0
portfolio_1k,2025-09-23,2025-09-25,calendar_call,580,610,2,0.62,0.37,-49.02,-39.8,sl,stop loss -40%,0
signal_edge,2025-09-25,2025-09-29,calendar_call,575,610,1,0.41,0.64,23.12,56.9,tp,take profit +57%,0
portfolio_1k,2025-09-25,2025-09-29,calendar_call,575,610,3,0.41,0.64,69.36,56.9,tp,take profit +57%,0
signal_edge,2025-09-29,2025-10-03,calendar_call,580,615,1,0.42,0.25,-16.77,-39.9,sl,stop loss -40%,0
portfolio_1k,2025-09-29,2025-10-03,calendar_call,580,615,3,0.42,0.25,-50.31,-39.9,sl,stop loss -40%,0
signal_edge,2025-10-03,2025-10-06,calendar_call,590,615,1,0.32,0.59,27.19,85.6,tp,take profit +86%,0
portfolio_1k,2025-10-03,2025-10-06,calendar_call,590,615,4,0.32,0.59,108.76,85.6,tp,take profit +86%,0
signal_edge,2025-10-06,2025-10-07,calendar_call,595,620,1,0.33,0.23,-10.37,-31.4,sl,stop loss -31%,0
portfolio_1k,2025-10-06,2025-10-07,calendar_call,595,620,4,0.33,0.23,-41.48,-31.4,sl,stop loss -31%,0
signal_edge,2025-10-07,2025-10-08,calendar_call,590,615,1,0.48,0.97,49.37,103.2,tp,take profit +103%,0
portfolio_1k,2025-10-07,2025-10-08,calendar_call,590,615,3,0.48,0.97,148.11,103.2,tp,take profit +103%,0
signal_edge,2025-10-08,2025-10-10,calendar_call,595,625,1,0.42,0.28,-14.12,-33.7,sl,stop loss -34%,0
portfolio_1k,2025-10-08,2025-10-10,calendar_call,595,625,3,0.42,0.28,-42.36,-33.7,sl,stop loss -34%,0
signal_edge,2025-10-10,2025-10-13,double_diagonal,560,615,1,0.36,0.58,22.01,61.3,tp,take profit +61%,0
portfolio_1k,2025-10-10,2025-10-13,double_diagonal,560,615,4,0.36,0.58,88.04,61.3,tp,take profit +61%,0
signal_edge,2025-10-13,2025-10-20,calendar_call,570,630,1,0.83,1.35,52.12,62.9,tp,take profit +63%,0
portfolio_1k,2025-10-13,2025-10-20,calendar_call,570,630,1,0.83,1.35,52.12,62.9,tp,take profit +63%,0
portfolio_1k,2025-10-14,2025-10-20,double_diagonal,565,625,1,0.5,0.77,26.66,53.3,tp,take profit +53%,0
signal_edge,2025-10-20,2025-10-22,calendar_call,580,640,1,0.9,0.57,-32.98,-36.7,sl,stop loss -37%,0
portfolio_1k,2025-10-20,2025-10-22,calendar_call,580,640,1,0.9,0.57,-32.98,-36.7,sl,stop loss -37%,0
signal_edge,2025-10-22,2025-10-23,calendar_call,575,635,1,0.84,1.11,26.96,32.0,tp,take profit +32%,0
portfolio_1k,2025-10-22,2025-10-23,calendar_call,575,635,1,0.84,1.11,26.96,32.0,tp,take profit +32%,0
signal_edge,2025-10-23,2025-10-24,calendar_call,580,640,1,0.88,1.24,36.17,41.0,tp,take profit +41%,0
portfolio_1k,2025-10-23,2025-10-24,calendar_call,580,640,1,0.88,1.24,36.17,41.0,tp,take profit +41%,0
signal_edge,2025-10-24,2025-10-27,calendar_call,585,645,1,1.0,1.76,75.58,75.5,tp,take profit +76%,0
portfolio_1k,2025-10-24,2025-10-27,calendar_call,585,645,1,1.0,1.76,75.58,75.5,tp,take profit +76%,0
signal_edge,2025-10-30,2025-11-04,calendar_call,590,660,1,1.01,0.65,-36.51,-36.1,sl,stop loss -36%,0
portfolio_1k,2025-10-30,2025-11-04,calendar_call,590,660,1,1.01,0.65,-36.51,-36.1,sl,stop loss -36%,0
signal_edge,2025-11-04,2025-11-06,calendar_call,580,655,1,1.08,0.74,-33.32,-31.0,sl,stop loss -31%,0
portfolio_1k,2025-11-04,2025-11-06,calendar_call,580,655,1,1.08,0.74,-33.32,-31.0,sl,stop loss -31%,0
signal_edge,2025-11-06,2025-11-13,calendar_call,570,645,1,1.25,0.46,-79.85,-63.7,sl,stop loss -64%,0
portfolio_1k,2025-11-06,2025-11-13,calendar_call,570,645,1,1.25,0.46,-79.85,-63.7,sl,stop loss -64%,0
signal_edge,2025-11-13,2025-11-21,double_diagonal,575,640,1,0.73,0.98,24.95,34.1,tp,take profit +34%,0
portfolio_1k,2025-11-13,2025-11-21,double_diagonal,575,640,2,0.73,0.98,49.9,34.1,tp,take profit +34%,0
signal_edge,2025-11-21,2025-11-24,double_diagonal,555,620,1,0.85,1.18,33.58,39.7,tp,take profit +40%,0
portfolio_1k,2025-11-21,2025-11-24,double_diagonal,555,620,1,0.85,1.18,33.58,39.7,tp,take profit +40%,0
signal_edge,2025-11-24,2025-12-02,double_diagonal,565,640,1,1.0,1.22,22.25,22.2,roll_close,6 DTE < 7,0
portfolio_1k,2025-11-24,2025-12-02,double_diagonal,565,640,1,1.0,1.22,22.25,22.2,roll_close,6 DTE < 7,0
signal_edge,2025-12-02,2025-12-08,calendar_call,580,655,1,1.24,0.78,-45.44,-36.7,sl,stop loss -37%,0
portfolio_1k,2025-12-02,2025-12-08,calendar_call,580,655,1,1.24,0.78,-45.44,-36.7,sl,stop loss -37%,0
portfolio_1k,2025-12-12,2025-12-15,calendar_call,580,645,1,0.89,0.48,-40.74,-46.0,sl,stop loss -46%,0
signal_edge,2025-12-11,2025-12-17,double_calendar,595,655,1,1.56,2.13,56.85,36.4,tp,take profit +36%,0
portfolio_1k,2025-12-15,2025-12-17,calendar_call,580,640,1,0.78,0.41,-36.76,-47.2,sl,stop loss -47%,0
signal_edge,2025-12-17,2025-12-18,calendar_call,570,630,1,0.87,1.35,48.08,55.5,tp,take profit +56%,0
portfolio_1k,2025-12-17,2025-12-18,calendar_call,570,630,1,0.87,1.35,48.08,55.5,tp,take profit +56%,0
signal_edge,2025-12-18,2025-12-19,calendar_call,575,640,1,0.86,1.33,46.9,54.8,tp,take profit +55%,0
portfolio_1k,2025-12-18,2025-12-19,calendar_call,575,640,1,0.86,1.33,46.9,54.8,tp,take profit +55%,0
signal_edge,2025-12-19,2025-12-22,double_calendar,585,645,1,1.87,1.2,-67.44,-36.0,sl,stop loss -36%,0
signal_edge,2025-12-22,2025-12-24,double_calendar,590,645,1,1.52,0.98,-53.98,-35.6,sl,stop loss -36%,0
signal_edge,2025-12-24,2026-01-02,double_calendar,600,645,1,1.38,1.15,-22.93,-16.6,roll_close,5 DTE < 7,0
portfolio_1k,2025-12-24,2026-01-02,double_calendar,600,645,1,1.38,1.15,-22.93,-16.6,roll_close,5 DTE < 7,0
signal_edge,2026-01-02,2026-01-06,double_calendar,590,635,1,1.18,1.56,37.89,32.1,tp,take profit +32%,0
portfolio_1k,2026-01-02,2026-01-06,double_calendar,590,635,1,1.18,1.56,37.89,32.1,tp,take profit +32%,0
signal_edge,2026-01-06,2026-01-14,double_calendar,600,645,1,1.41,0.81,-59.81,-42.5,sl,stop loss -42%,0
portfolio_1k,2026-01-06,2026-01-14,double_calendar,600,645,1,1.41,0.81,-59.81,-42.5,sl,stop loss -42%,0
signal_edge,2026-01-14,2026-01-20,calendar_call,595,640,1,0.74,0.15,-58.95,-79.8,sl,stop loss -80%,0
portfolio_1k,2026-01-14,2026-01-20,calendar_call,595,640,2,0.74,0.15,-117.9,-79.8,sl,stop loss -80%,0
signal_edge,2026-01-20,2026-01-22,double_diagonal,585,630,1,0.25,0.12,-13.11,-51.6,sl,stop loss -52%,0
portfolio_1k,2026-01-20,2026-01-22,double_diagonal,585,630,5,0.25,0.12,-65.55,-51.6,sl,stop loss -52%,0
signal_edge,2026-01-22,2026-01-26,calendar_call,595,640,1,0.77,1.0,23.47,30.5,tp,take profit +30%,0
portfolio_1k,2026-01-22,2026-01-26,calendar_call,595,640,1,0.77,1.0,23.47,30.5,tp,take profit +30%,0
portfolio_1k,2026-01-23,2026-01-27,calendar_call,600,645,1,0.62,1.12,50.75,82.3,tp,take profit +82%,0
signal_edge,2026-01-29,2026-01-30,calendar_call,605,650,1,0.78,0.48,-29.7,-38.1,sl,stop loss -38%,0
portfolio_1k,2026-01-29,2026-01-30,calendar_call,605,650,1,0.78,0.48,-29.7,-38.1,sl,stop loss -38%,0
signal_edge,2026-01-30,2026-02-03,calendar_call,595,645,1,0.73,0.48,-25.07,-34.5,sl,stop loss -34%,0
portfolio_1k,2026-01-30,2026-02-03,calendar_call,595,645,2,0.73,0.48,-50.14,-34.5,sl,stop loss -34%,0
signal_edge,2026-02-03,2026-02-04,calendar_call,590,640,1,0.82,0.43,-39.6,-48.1,sl,stop loss -48%,0
portfolio_1k,2026-02-03,2026-02-04,calendar_call,590,640,1,0.82,0.43,-39.6,-48.1,sl,stop loss -48%,0
signal_edge,2026-02-04,2026-02-05,calendar_call,580,630,1,0.88,0.48,-40.27,-45.8,sl,stop loss -46%,0
portfolio_1k,2026-02-04,2026-02-05,calendar_call,580,630,1,0.88,0.48,-40.27,-45.8,sl,stop loss -46%,0
signal_edge,2026-02-05,2026-02-09,double_diagonal,570,620,1,0.45,0.59,13.82,30.4,tp,take profit +30%,0
portfolio_1k,2026-02-05,2026-02-09,double_diagonal,570,620,3,0.45,0.59,41.46,30.4,tp,take profit +30%,0
signal_edge,2026-02-09,2026-02-12,calendar_call,580,645,1,0.91,0.35,-56.27,-61.6,sl,stop loss -62%,0
portfolio_1k,2026-02-09,2026-02-12,calendar_call,580,645,1,0.91,0.35,-56.27,-61.6,sl,stop loss -62%,0
signal_edge,2026-02-12,2026-02-19,double_diagonal,565,630,1,0.67,0.47,-20.41,-30.3,sl,stop loss -30%,0
portfolio_1k,2026-02-12,2026-02-19,double_diagonal,565,630,2,0.67,0.47,-40.82,-30.3,sl,stop loss -30%,0
signal_edge,2026-02-19,2026-02-25,double_diagonal,570,630,1,0.56,0.91,34.57,61.4,tp,take profit +61%,0
portfolio_1k,2026-02-19,2026-02-25,double_diagonal,570,630,2,0.56,0.91,69.14,61.4,tp,take profit +61%,0
signal_edge,2026-02-25,2026-02-26,calendar_call,585,645,1,1.09,0.7,-38.91,-35.6,sl,stop loss -36%,0
portfolio_1k,2026-02-25,2026-02-26,calendar_call,585,645,1,1.09,0.7,-38.91,-35.6,sl,stop loss -36%,0
signal_edge,2026-02-26,2026-03-03,calendar_call,575,640,1,0.95,0.4,-55.51,-58.2,sl,stop loss -58%,0
portfolio_1k,2026-02-26,2026-03-03,calendar_call,575,640,1,0.95,0.4,-55.51,-58.2,sl,stop loss -58%,0
signal_edge,2026-03-04,2026-03-10,double_diagonal,575,640,1,0.72,0.32,-39.94,-55.5,sl,stop loss -55%,0
portfolio_1k,2026-03-04,2026-03-10,double_diagonal,575,640,2,0.72,0.32,-79.88,-55.5,sl,stop loss -55%,0
signal_edge,2026-04-01,2026-04-08,double_diagonal,545,620,1,1.0,1.59,59.28,59.2,tp,take profit +59%,0
portfolio_1k,2026-04-01,2026-04-08,double_diagonal,545,620,1,1.0,1.59,59.28,59.2,tp,take profit +59%,0
signal_edge,2026-04-08,2026-04-14,double_diagonal,565,645,1,1.15,1.57,41.36,35.9,tp,take profit +36%,0
portfolio_1k,2026-04-08,2026-04-14,double_diagonal,565,645,1,1.15,1.57,41.36,35.9,tp,take profit +36%,0
signal_edge,2026-04-14,2026-04-15,calendar_call,585,670,1,1.32,1.81,48.84,37.0,tp,take profit +37%,0
portfolio_1k,2026-04-14,2026-04-15,calendar_call,585,670,1,1.32,1.81,48.84,37.0,tp,take profit +37%,0
signal_edge,2026-04-15,2026-04-17,calendar_call,595,680,1,1.33,1.85,52.56,39.6,tp,take profit +40%,0
portfolio_1k,2026-04-15,2026-04-17,calendar_call,595,680,1,1.33,1.85,52.56,39.6,tp,take profit +40%,0
signal_edge,2026-04-17,2026-04-21,calendar_call,605,690,1,1.37,0.8,-57.24,-41.8,sl,stop loss -42%,0
portfolio_1k,2026-04-17,2026-04-21,calendar_call,605,690,1,1.37,0.8,-57.24,-41.8,sl,stop loss -42%,0
signal_edge,2026-04-21,2026-04-22,calendar_call,605,685,1,1.19,1.8,61.54,51.8,tp,take profit +52%,0
portfolio_1k,2026-04-21,2026-04-22,calendar_call,605,685,1,1.19,1.8,61.54,51.8,tp,take profit +52%,0
signal_edge,2026-04-22,2026-04-24,calendar_call,615,695,1,1.31,1.85,53.19,40.5,tp,take profit +40%,0
portfolio_1k,2026-04-22,2026-04-24,calendar_call,615,695,1,1.31,1.85,53.19,40.5,tp,take profit +40%,0
signal_edge,2026-04-24,2026-04-27,calendar_call,620,705,1,1.36,0.9,-46.67,-34.3,sl,stop loss -34%,0
portfolio_1k,2026-04-24,2026-04-27,calendar_call,620,705,1,1.36,0.9,-46.67,-34.3,sl,stop loss -34%,0
signal_edge,2026-05-06,2026-05-07,calendar_call,665,725,1,1.06,0.72,-34.11,-32.1,sl,stop loss -32%,0
portfolio_1k,2026-05-06,2026-05-07,calendar_call,665,725,1,1.06,0.72,-34.11,-32.1,sl,stop loss -32%,0
signal_edge,2026-05-11,2026-05-14,calendar_call,680,745,1,0.89,1.23,33.52,37.5,tp,take profit +37%,0
portfolio_1k,2026-05-11,2026-05-14,calendar_call,680,745,1,0.89,1.23,33.52,37.5,tp,take profit +37%,0
signal_edge,2026-05-14,2026-05-15,calendar_call,685,750,1,1.02,0.71,-30.88,-30.4,sl,stop loss -30%,0
portfolio_1k,2026-05-14,2026-05-15,calendar_call,685,750,1,1.02,0.71,-30.88,-30.4,sl,stop loss -30%,0
signal_edge,2026-05-15,2026-05-19,calendar_call,675,745,1,0.95,0.5,-45.72,-47.9,sl,stop loss -48%,0
portfolio_1k,2026-05-15,2026-05-19,calendar_call,675,745,1,0.95,0.5,-45.72,-47.9,sl,stop loss -48%,0
signal_edge,2026-05-19,2026-05-20,calendar_call,665,735,1,1.08,1.77,68.76,63.7,tp,take profit +64%,0
portfolio_1k,2026-05-19,2026-05-20,calendar_call,665,735,1,1.08,1.77,68.76,63.7,tp,take profit +64%,0
signal_edge,2026-05-20,2026-05-26,calendar_call,675,750,1,1.01,1.82,81.22,80.4,tp,take profit +80%,0
portfolio_1k,2026-05-20,2026-05-26,calendar_call,675,750,1,1.01,1.82,81.22,80.4,tp,take profit +80%,0
signal_edge,2026-05-26,2026-06-01,calendar_call,695,765,1,1.01,1.51,50.0,49.5,tp,take profit +50%,0
